index,stream,season,reach.original,reach,carbon,cr.area,cr.afdm,nrr
438,Amberly,Autumn,Daylight,Open,Cellobiose,3.565787755,17.101368,1.543524766
439,Amberly,Autumn,Daylight,Open,Cellobiose,4.448343339,11.84078645,1.925557152
440,Amberly,Autumn,Daylight,Open,Cellobiose,10.39586397,8.415519842,4.500064112
441,Amberly,Autumn,Daylight,Open,Cellobiose,2.309381447,6.814541436,0.999663385
442,Amberly,Autumn,Daylight,Open,Cellobiose,6.038038056,7.245731817,2.613689294
443,Amberly,Autumn,Daylight,Open,Cellobiose,5.784723392,13.32240863,2.504036817
444,Amberly,Autumn,Daylight,Open,Cellobiose,10.93556858,12.71661358,4.733686381
445,Amberly,Autumn,Daylight,Open,Cellobiose,4.941947167,6.673667455,2.139223748
414,Amberly,Autumn,Daylight,Open,Control,3.181963298,10.78047909,
415,Amberly,Autumn,Daylight,Open,Control,2.371448526,11.96251299,
416,Amberly,Autumn,Daylight,Open,Control,2.469088699,7.454054095,
417,Amberly,Autumn,Daylight,Open,Control,2.605963115,12.44135218,
418,Amberly,Autumn,Daylight,Open,Control,2.037123114,15.30840444,
419,Amberly,Autumn,Daylight,Open,Control,2.044508113,15.32886869,
420,Amberly,Autumn,Daylight,Open,Control,1.696193137,13.40609032,
421,Amberly,Autumn,Daylight,Open,Control,2.074984643,10.78932462,
422,Amberly,Autumn,Daylight,Open,Glucose,2.76520825,6.219578799,1.196977418
423,Amberly,Autumn,Daylight,Open,Glucose,8.913746262,12.33576468,3.858498896
424,Amberly,Autumn,Daylight,Open,Glucose,4.450578723,10.26490563,1.926524784
425,Amberly,Autumn,Daylight,Open,Glucose,11.71420144,7.46503667,5.070733673
426,Amberly,Autumn,Daylight,Open,Glucose,0.887747186,7.071994286,0.384279677
427,Amberly,Autumn,Daylight,Open,Glucose,4.421446648,4.383099946,1.913914364
428,Amberly,Autumn,Daylight,Open,Glucose,3.114726283,5.449426645,1.348273506
429,Amberly,Autumn,Daylight,Open,Glucose,8.963439283,9.857605162,3.880009545
533,Eastgate,Autumn,Buried Down,Buried,Arabinose,13.87868509,15.85229488,2.180540997
534,Eastgate,Autumn,Buried Down,Buried,Arabinose,10.27314095,39.9101693,1.614058165
535,Eastgate,Autumn,Buried Down,Buried,Arabinose,11.48059867,17.15172168,1.803767137
536,Eastgate,Autumn,Buried Down,Buried,Arabinose,12.69566277,18.26233043,1.994671178
537,Eastgate,Autumn,Buried Down,Buried,Arabinose,12.8322024,26.23052359,2.016123518
538,Eastgate,Autumn,Buried Down,Buried,Arabinose,9.752903762,13.53282857,1.532321423
539,Eastgate,Autumn,Buried Down,Buried,Arabinose,13.20808878,9.160042536,2.075180674
540,Eastgate,Autumn,Buried Down,Buried,Cellobiose,18.51869096,11.23415759,2.90955264
541,Eastgate,Autumn,Buried Down,Buried,Cellobiose,16.47768749,6.151978669,2.588881645
542,Eastgate,Autumn,Buried Down,Buried,Cellobiose,16.29530659,16.2238552,2.560226985
543,Eastgate,Autumn,Buried Down,Buried,Cellobiose,16.67239649,13.48665577,2.61947323
544,Eastgate,Autumn,Buried Down,Buried,Cellobiose,15.25375308,8.584398572,2.39658395
545,Eastgate,Autumn,Buried Down,Buried,Cellobiose,16.77445053,22.45926352,2.635507387
546,Eastgate,Autumn,Buried Down,Buried,Cellobiose,16.80733985,21.75315254,2.640674772
547,Eastgate,Autumn,Buried Down,Buried,Cellobiose,15.88847255,6.108389218,2.496307506
516,Eastgate,Autumn,Buried Down,Buried,Control,6.003532393,12.97017333,
517,Eastgate,Autumn,Buried Down,Buried,Control,6.784517047,10.55045027,
518,Eastgate,Autumn,Buried Down,Buried,Control,6.983308484,5.122138284,
519,Eastgate,Autumn,Buried Down,Buried,Control,6.674587543,12.35697926,
520,Eastgate,Autumn,Buried Down,Buried,Control,6.600206406,10.69212349,
521,Eastgate,Autumn,Buried Down,Buried,Control,6.396688982,7.315163171,
522,Eastgate,Autumn,Buried Down,Buried,Control,5.200638901,11.23972414,
523,Eastgate,Autumn,Buried Down,Buried,Control,6.274838636,20.33236576,
524,Eastgate,Autumn,Buried Down,Buried,Glucose,11.49693362,63.79692491,1.806333591
525,Eastgate,Autumn,Buried Down,Buried,Glucose,15.02845909,20.84225958,2.361187025
526,Eastgate,Autumn,Buried Down,Buried,Glucose,12.38563426,7.288718644,1.945961242
527,Eastgate,Autumn,Buried Down,Buried,Glucose,15.96648255,3.899205614,2.508563998
528,Eastgate,Autumn,Buried Down,Buried,Glucose,12.08974946,27.62215537,1.899473485
529,Eastgate,Autumn,Buried Down,Buried,Glucose,15.61473119,5.720071435,2.453298802
530,Eastgate,Autumn,Buried Down,Buried,Glucose,15.05142523,20.87407983,2.364795337
531,Eastgate,Autumn,Buried Down,Buried,Glucose,14.12446645,5.713677734,2.219156782
532,Eastgate,Autumn,Buried Down,Buried,Glucose,17.26647347,8.706578824,2.712811266
498,Eastgate,Autumn,Buried Up,Buried,Arabinose,14.03178145,24.17635256,2.954479665
499,Eastgate,Autumn,Buried Up,Buried,Arabinose,11.50433759,7.23607768,2.422310495
500,Eastgate,Autumn,Buried Up,Buried,Arabinose,12.10683971,10.56596769,2.549171099
501,Eastgate,Autumn,Buried Up,Buried,Arabinose,10.25451406,7.071994286,2.159152306
502,Eastgate,Autumn,Buried Up,Buried,Arabinose,9.097295118,6.47340672,1.915492593
503,Eastgate,Autumn,Buried Up,Buried,Arabinose,9.865410473,13.56064155,2.077224103
504,Eastgate,Autumn,Buried Up,Buried,Arabinose,13.33593315,16.24856455,2.807964438
505,Eastgate,Autumn,Buried Up,Buried,Arabinose,10.84756127,14.95693823,2.28402212
506,Eastgate,Autumn,Buried Up,Buried,Cellobiose,9.521105241,9.65282941,2.004728475
507,Eastgate,Autumn,Buried Up,Buried,Cellobiose,12.03562754,12.7552659,2.534176929
508,Eastgate,Autumn,Buried Up,Buried,Cellobiose,12.39235679,3.036320467,2.609288513
509,Eastgate,Autumn,Buried Up,Buried,Cellobiose,12.58888061,14.11274624,2.650667836
510,Eastgate,Autumn,Buried Up,Buried,Cellobiose,11.48419883,16.51728387,2.418070153
511,Eastgate,Autumn,Buried Up,Buried,Cellobiose,13.63486048,7.875469112,2.870905463
512,Eastgate,Autumn,Buried Up,Buried,Cellobiose,14.07632688,9.980382391,2.963858987
482,Eastgate,Autumn,Buried Up,Buried,Control,2.67959684,26.28135981,
483,Eastgate,Autumn,Buried Up,Buried,Control,1.912259022,3.976221687,
484,Eastgate,Autumn,Buried Up,Buried,Control,1.4495591,8.991103846,
485,Eastgate,Autumn,Buried Up,Buried,Control,5.129690955,14.41665775,
